Participant,Guide,Set,Phase,Block,Trial,TrialName,TriggeredName,Result,Mode,RestartCount,DrawTime,NoviceTime,EndTime,TriggerDuration,GripDuration,IdleDuration
P1,Octo,Set1,PreTest,B1,T1,Paris,Rome,FALSE,Expert,0,2.292,0,3.281,0.989,0,2.292
P1,Octo,Set1,PreTest,B1,T2,Singapore,Abu Dhabi,FALSE,Expert,0,1.057,0,3.185,2.127,0,1.057
P1,Octo,Set1,PreTest,B1,T3,London,NR,FALSE,Expert,0,0.753,0,2.112,1.359,0,0.753
P1,Octo,Set1,PreTest,B1,T4,New York,NR,FALSE,Expert,0,0.501,0,1.51,1.01,0,0.501
P1,Octo,Set1,PreTest,B1,T5,Amsterdam,Tokyo,FALSE,Expert,0,0.459,0,0.982,0.523,0,0.459
P1,Octo,Set1,PreTest,B1,T6,Dubai,Rome,FALSE,Expert,0,0.376,0,0.842,0.466,0,0.376
P1,Octo,Set1,PreTest,B1,T7,Tokyo,Los Angeles,FALSE,Expert,0,0.544,0,1.175,0.631,0,0.544
P1,Octo,Set1,PreTest,B1,T8,Rome,Tokyo,FALSE,Expert,0,0.46,0,1.178,0.718,0,0.46
P1,Octo,Set1,PreTest,B1,T9,Beijing,Los Angeles,FALSE,Expert,0,0.376,0,0.972,0.596,0,0.376
P1,Octo,Set1,PreTest,B1,T10,Madrid,NR,FALSE,Expert,1,1.294,0,1.667,0.623,0,1.044
P1,Octo,Set1,PreTest,B1,T11,Barcelona,NR,FALSE,Expert,0,0.433,0,0.917,0.484,0,0.433
P1,Octo,Set1,PreTest,B1,T12,San Francisco,Los Angeles,FALSE,Expert,0,0.405,0,0.814,0.409,0,0.405
P1,Octo,Set1,PreTest,B1,T13,Moscow,Los Angeles,FALSE,Expert,0,0.391,0,0.704,0.313,0,0.391
P1,Octo,Set1,PreTest,B1,T14,Abu Dhabi,Los Angeles,FALSE,Expert,0,0.433,0,0.791,0.358,0,0.433
P1,Octo,Set1,PreTest,B1,T15,Los Angeles,NR,FALSE,Expert,0,0.348,0,0.736,0.387,0,0.348
P1,Octo,Set1,PreTest,B1,T16,Chicago,NR,FALSE,Expert,0,1.447,0,1.933,0.485,0,1.447
P1,Octo,Set1,Training,B1,T1,Abu Dhabi,Abu Dhabi,TRUE,Novice,0,1.041,1.334,9.995,5.388,3.566,1.041
P1,Octo,Set1,Training,B1,T2,Abu Dhabi,Abu Dhabi,TRUE,Novice,0,0.6,2.77,4.768,3.168,1.001,0.6
P1,Octo,Set1,Training,B1,T3,Abu Dhabi,NR,FALSE,Expert,0,0.573,0,2.149,1.577,0,0.573
P1,Octo,Set1,Training,B1,T4,Tokyo,Tokyo,TRUE,Novice,0,1.169,1.449,6.265,5.096,0,1.169
P1,Octo,Set1,Training,B1,T5,Tokyo,Tokyo,TRUE,Novice,0,0.392,0.671,2.647,2.255,0,0.392
P1,Octo,Set1,Training,B1,T6,Tokyo,Tokyo,TRUE,Novice,0,0.446,0.738,3.271,2.826,0,0.446
P1,Octo,Set1,Training,B1,T7,Paris,Paris,TRUE,Novice,0,0.446,0.824,5.822,5.375,0,0.446
P1,Octo,Set1,Training,B1,T8,Paris,Paris,TRUE,Expert,0,0.585,0,1.636,1.05,0,0.585
P1,Octo,Set1,Training,B1,T9,Paris,Paris,TRUE,Expert,0,0.404,0,1.241,0.837,0,0.404
P1,Octo,Set1,Training,B1,T10,Amsterdam,Amsterdam,TRUE,Novice,0,0.793,1.541,14.986,10.164,4.03,0.793
P1,Octo,Set1,Training,B1,T11,Amsterdam,Amsterdam,TRUE,Novice,0,0.667,0.954,3.424,2.757,0,0.667
P1,Octo,Set1,Training,B1,T12,Amsterdam,Amsterdam,TRUE,Expert,0,0.599,0,3.052,2.453,0,0.599
P1,Octo,Set1,Training,B1,T13,Madrid,NR,FALSE,Novice,0,0.988,1.309,6.604,5.615,0,0.988
P1,Octo,Set1,Training,B1,T14,Madrid,Madrid,TRUE,Novice,0,0.905,1.211,4.507,3.602,0,0.905
P1,Octo,Set1,Training,B1,T15,Madrid,Madrid,TRUE,Novice,0,0.71,2.972,3.244,2.533,0,0.71
P1,Octo,Set1,Training,B1,T16,Singapore,Singapore,TRUE,Novice,0,1.018,1.366,15.019,5.864,8.137,1.018
P1,Octo,Set1,Training,B1,T17,Singapore,NR,FALSE,Expert,0,0.544,0,2.179,1.636,0,0.544
P1,Octo,Set1,Training,B1,T18,Singapore,Singapore,TRUE,Novice,1,16.6,2.34,21.431,16.23,2.057,3.145
P1,Octo,Set1,Training,B1,T19,Los Angeles,NR,FALSE,Novice,0,0.834,2.092,12.116,11.282,0,0.834
P1,Octo,Set1,Training,B1,T20,Los Angeles,NR,FALSE,Novice,0,1.487,2.399,8.491,5.382,1.622,1.487
P1,Octo,Set1,Training,B1,T21,Los Angeles,Los Angeles,TRUE,Novice,0,0.753,1.271,7.741,6.988,0,0.753
P1,Octo,Set1,Training,B1,T22,Dubai,NR,FALSE,Novice,1,5.251,1.85,12.998,11.087,0,1.912
P1,Octo,Set1,Training,B1,T23,Dubai,Dubai,TRUE,Novice,0,1.028,1.322,6.342,5.314,0,1.028
P1,Octo,Set1,Training,B1,T24,Dubai,Dubai,TRUE,Novice,0,0.804,1.148,3.739,2.936,0,0.804
P1,Octo,Set1,Test,B1,T1,Tokyo,Chicago,FALSE,Expert,0,1.153,0,9.029,7.876,0,1.153
P1,Octo,Set1,Test,B1,T2,Los Angeles,NR,FALSE,Expert,0,1.002,0,5.877,4.875,0,1.002
P1,Octo,Set1,Test,B1,T3,Dubai,Dubai,TRUE,Expert,0,0.794,0,4.607,3.813,0,0.794
P1,Octo,Set1,Test,B1,T4,Abu Dhabi,NR,FALSE,Expert,0,0.99,0,3.743,2.753,0,0.99
P1,Octo,Set1,Test,B1,T5,Paris,Singapore,FALSE,Expert,0,1.115,0,3.725,2.61,0,1.115
P1,Octo,Set1,Test,B1,T6,Singapore,Singapore,TRUE,Expert,0,0.949,0,2.569,1.62,0,0.949
P1,Octo,Set1,Test,B1,T7,Madrid,Tokyo,FALSE,Expert,0,1.002,0,5.074,4.072,0,1.002
P1,Octo,Set1,Test,B1,T8,Amsterdam,Amsterdam,TRUE,Expert,0,1.38,0,2.89,1.51,0,1.38
P1,Octo,Set1,Training,B2,T1,Singapore,NR,FALSE,Novice,0,1.458,1.756,6.494,5.036,0,1.458
P1,Octo,Set1,Training,B2,T2,Singapore,Singapore,TRUE,Novice,0,1.64,1.918,8.152,6.512,0,1.64
P1,Octo,Set1,Training,B2,T3,Singapore,Singapore,TRUE,Novice,0,0.765,3.016,5.581,4.816,0,0.765
P1,Octo,Set1,Training,B2,T4,Paris,Paris,TRUE,Novice,0,0.991,1.305,11.777,5.911,4.875,0.991
P1,Octo,Set1,Training,B2,T5,Paris,Paris,TRUE,Novice,0,0.697,2.476,2.49,1.793,0,0.697
P1,Octo,Set1,Training,B2,T6,Paris,Paris,TRUE,Expert,0,0.681,0,2.238,1.556,0,0.681
P1,Octo,Set1,Training,B2,T7,Abu Dhabi,NR,FALSE,Novice,0,1.086,1.379,9.1,8.014,0,1.086
P1,Octo,Set1,Training,B2,T8,Abu Dhabi,Abu Dhabi,TRUE,Expert,0,0.988,0,3.738,2.749,0,0.988
P1,Octo,Set1,Training,B2,T9,Abu Dhabi,Abu Dhabi,TRUE,Expert,0,0.808,0,2.743,1.934,0,0.808
P1,Octo,Set1,Training,B2,T10,Dubai,Dubai,TRUE,Novice,1,5.211,1.576,9.59,8.173,0,1.417
P1,Octo,Set1,Training,B2,T11,Dubai,Dubai,TRUE,Expert,0,0.502,0,2.261,1.759,0,0.502
P1,Octo,Set1,Training,B2,T12,Dubai,Dubai,TRUE,Expert,0,0.445,0,2.247,1.802,0,0.445
P1,Octo,Set1,Training,B2,T13,Amsterdam,Amsterdam,TRUE,Novice,0,0.976,1.418,6.28,5.304,0,0.976
P1,Octo,Set1,Training,B2,T14,Amsterdam,Amsterdam,TRUE,Expert,0,0.654,0,2.616,1.962,0,0.654
P1,Octo,Set1,Training,B2,T15,Amsterdam,Amsterdam,TRUE,Expert,0,0.71,0,2.837,2.127,0,0.71
P1,Octo,Set1,Training,B2,T16,Los Angeles,Los Angeles,TRUE,Novice,0,0.919,1.199,7.083,6.164,0,0.919
P1,Octo,Set1,Training,B2,T17,Los Angeles,Los Angeles,TRUE,Novice,0,0.795,1.089,5.026,4.232,0,0.795
P1,Octo,Set1,Training,B2,T18,Los Angeles,Los Angeles,TRUE,Expert,0,0.586,0,1.939,1.354,0,0.586
P1,Octo,Set1,Training,B2,T19,Tokyo,Tokyo,TRUE,Novice,0,0.851,1.339,6.184,5.332,0,0.851
P1,Octo,Set1,Training,B2,T20,Tokyo,Tokyo,TRUE,Expert,0,0.545,0,1.958,1.413,0,0.545
P1,Octo,Set1,Training,B2,T21,Tokyo,Tokyo,TRUE,Expert,0,0.462,0,2.169,1.708,0,0.462
